       3       15       17
       4       10        5
      11       17        4
       5       10        8
       4        5        6
       6        2        4
       5        2        6
      10       13        8
       8       13        1
       4        7       10
       4       14       11
       7       12        9
       9       10        7
       4        2       14
       7       16        0
       7        0       12
       0        9       12
       2       11       14
      10        9       13
      17       15        7
       7       15       16
      15        0       16
       4       17        7
       3       17       11
