       1      245
       2       28
     122       77
       3      139
       0      334
      73        8
       5      268
      18       30
       8       10
      10        6
      11       17
      15       34
      18       22
      22        6
      24      200
      26       29
      28       26
      29       24
      30        2
      23       33
      33        2
      34       23
      17       57
      48       49
      49       11
      57       15
      73        4
     305        0
      89      279
      96      266
     191      190
      69        4
     106      103
      69      109
     113      319
      67      186
     105       99
      99       48
     139      105
     122      109
     112      170
     103        3
     141      199
     170        5
     149      244
     186        1
     224       79
     200      112
     191       77
     224      190
     199       96
     240      113
     187      149
     244      240
     245      187
     266      106
     268      274
     274       67
     279      141
     284      338
     282      285
     285       89
     290      299
     299       79
     296      309
     305      290
     308        0
     309      308
     295      314
     314      296
     319      295
     334      343
     338      282
     343      284
