      35        8       14
      82      146       80
     213      207      174
      74       82       80
      38       85       36
      76       75       73
       8       83       10
      73       75        8
      25       18       22
      84       75       80
      14        8       10
     146      147        7
     112      200      204
     206       10        9
      34       19       31
      14       10       12
      27       30       18
      20       13       16
      59       58       44
      12       13       14
       6       12       10
      35       14       13
      52      107       43
      19       12       21
      35       13       36
      12       16       13
      15       57       59
      20       44       42
      16       12       19
      21       12        6
      32       31       18
      50       11       46
      72       73       35
      32       18       30
      18       31       22
      21        6       22
     172      205      201
      33       23       32
      31       19       21
      25       26       27
     202        9      173
      28       30       27
     206      202      172
      29       26       25
      31       21       22
      18       25       27
      27       26       28
      25      201      205
      28        2       30
      19       34       15
      33       32       30
      31       32       23
      30        2       33
      13       20       36
      31       23       34
      20       41       39
      45       40       42
      36       39       38
     118      264       56
      39       36       20
      38      118       85
      40       41       42
      39       43       47
      50       52       40
      41       43       39
      42       41       20
      43       41       40
      44       20       16
      42       17       45
      50       46       52
      43       37       47
      58       59       57
      42       44       58
      17       11       45
      45       11       50
     102       61      137
      40       52       43
     120      109       69
      39       47       38
      60       62       53
      11       49       46
      46       49       54
      53       62       51
      45       50       40
      62       64       51
      70       71       51
      46       54      108
      53       54       60
      51       71      108
      60       54       49
      54       53      108
      51       68       70
      85      118      117
      69       78      144
       4       55       76
      58       17       42
      59       16       19
      17       58       57
      16       59       44
      15       59       19
      49       48       60
      61       64       63
      91      154       65
      51       64       68
      63       62       60
      62       63       64
      60       48       63
      68       90      100
      70       86       91
     151       86      100
     230      157      229
       5      169      269
     270      110      128
      37      107       71
     194      114      135
      69        4      120
     104      102       97
     134      179      177
     102       90       61
      90      102      104
     207      122       77
     132      210      111
      92       70       91
     107      108       71
      35       73        8
      85       72       35
      72        4       73
      76       73        4
      70       68       86
     117      120       72
      74       80       75
     173        7      147
      94      271       88
      75       76       74
      88       95       94
      82       66       81
     109       78       69
     110       93       95
      70       92       71
      93       81       66
      87       74       55
      80        7       84
      55       74       76
     110       98      168
     209      211      142
      82       81      146
      10       83        9
       8       75       83
       9       83       84
      84       83       75
      36       85       35
      37      264      118
      87       82       74
      56      123      119
      87       66       82
      55       78       87
      78      166      143
     110       81       93
      66       94       93
     122      125       77
     155       86      151
      68      100       86
      91       65       92
     264       92       65
      37       71       92
      87      143       66
     272      274      276
      88      116      129
     130      134      177
      90       64       61
     129      116      132
     266       96      232
     178      175      180
     163       48       99
      97      115      104
      69      144        4
     135      151      152
     162      106      136
      68       64       90
      97      137      138
     100       90      104
     163       61       63
     105      139      140
     137       97      102
     164      101      104
     105      137       99
     139      162      140
     138      136       97
     104      101      100
     163       99      137
     136      115       97
     115      164      104
      43      107       37
     108      107       52
     108       52       46
      51      108       53
     118       47       37
     117       72       85
     110       95      128
     146      168      147
     133      175      134
     177      272      130
     203       24      205
     214      250      251
     297      249      294
      95       88      128
     222       77      125
     190      191      193
      66      143       94
     232       96      199
     145       78      109
     117       56      119
     120        4       72
      47      118       38
      56      117      118
      56      264      265
     167      119      123
     117      119      120
     109      120      119
     155      154       86
     145      122      127
     167      123      126
     126      124      125
     161      121      265
     123      121      126
     155      135      156
     158      153      156
     109      119      167
     223      220      190
     125      122      167
     121      159      160
     212      237      210
     116       88      271
     128       88      133
     110      168      146
      95       93       94
     133       88      129
     209      142      166
     147      168      171
     133      129      175
     130      133      134
     128      133      130
     180      111      183
     182      111      180
     150      277      272
     152      100      101
     219      114      189
     137      105      140
     267      106      266
     103      162      139
     140      162      138
     140      138      137
     106      162      103
     139        3      103
     196      114      194
